 [-2.85697959e+01 -7.45048995e-01]
 [-2.75735655e+01 -6.58302674e-01]
 [-2.65774651e+01 -5.70080657e-01]
 [-2.55816459e+01 -4.78737318e-01]
 [-2.45858907e+01 -3.86697050e-01]
 [-2.35898605e+01 -2.97695593e-01]
 [-2.25932496e+01 -2.15480375e-01]
 [-2.15958930e+01 -1.42883012e-01]
 [-2.05979512e+01 -7.87998646e-02]
 [-1.95996327e+01 -2.08542142e-02]
 [-1.86011026e+01  3.33393890e-02]
 [-1.76024855e+01  8.59122963e-02]
 [-1.66038383e+01  1.37910710e-01]
 [-1.56051975e+01  1.90030556e-01]
 [-1.46065996e+01  2.42965032e-01]
 [-1.36080181e+01  2.96205931e-01]
 [-1.26091716e+01  3.44138892e-01]
 [-1.16098096e+01  3.79482838e-01]
 [-1.06099564e+01  3.94915216e-01]
 [-9.61003077e+00  3.85420365e-01]
 [-8.61048224e+00  3.55819706e-01]
 [-7.61135650e+00  3.14096795e-01]
 [-6.61240940e+00  2.68221773e-01]
 [-5.61335787e+00  2.24692323e-01]
 [-4.61419224e+00  1.83855128e-01]
 [-3.61498404e+00  1.44068835e-01]
 [-2.61580012e+00  1.03679517e-01]
 [-1.61668562e+00  6.16080974e-02]
 [-6.17585349e-01  1.91984543e-02]
 [ 3.81588835e-01 -2.14232849e-02]
 [ 1.38091381e+00 -5.81259191e-02]
 [ 2.38042975e+00 -8.91794895e-02]
 [ 3.38010632e+00 -1.14552375e-01]
 [ 4.37990082e+00 -1.34764436e-01]
 [ 5.37977854e+00 -1.50339838e-01]
 [ 6.37972263e+00 -1.60659219e-01]
 [ 7.37971236e+00 -1.60288772e-01]
 [ 8.37952642e+00 -1.42224588e-01]
 [ 9.37857091e+00 -9.94530229e-02]
 [ 1.03755949e+01 -2.34176394e-02]
 [ 1.13676496e+01  1.01050054e-01]
 [ 1.23491801e+01  2.90863983e-01]
 [ 1.33114897e+01  5.61273081e-01]
 [ 1.42428832e+01  9.23764642e-01]
 [ 1.51279347e+01  1.38765009e+00]
 [ 1.59436992e+01  1.96418605e+00]
 [ 1.66566912e+01  2.66315517e+00]
 [ 1.72329226e+01  3.47857556e+00]
 [ 1.76743745e+01  4.37476555e+00]
 [ 1.80009694e+01  5.31929489e+00]
 [ 1.82333385e+01  6.29154865e+00]
 [ 1.83878442e+01  7.27929167e+00]
 [ 1.84760643e+01  8.27522479e+00]
 [ 1.85106943e+01  9.27452518e+00]
 [ 1.85055951e+01  1.02744635e+01]
 [ 1.84715499e+01  1.12738482e+01]
 [ 1.84086358e+01  1.22718254e+01]
 [ 1.83144919e+01  1.32673352e+01]
 [ 1.81867218e+01  1.42590824e+01]
 [ 1.80247514e+01  1.52458291e+01]
 [ 1.78336427e+01  1.62273658e+01]
 [ 1.76196170e+01  1.72041750e+01]
 [ 1.73887901e+01  1.81771606e+01]
 [ 1.71462562e+01  1.91472983e+01]
 [ 1.68942251e+01  2.01150138e+01]
 [ 1.66342941e+01  2.10806385e+01]
 [ 1.63680528e+01  2.20445434e+01]
 [ 1.60965837e+01  2.30069891e+01]
 [ 1.58194326e+01  2.39678136e+01]
 [ 1.55358235e+01  2.49267512e+01]
 [ 1.52449876e+01  2.58835213e+01]
 [ 1.49467500e+01  2.68380106e+01]
 [ 1.46427423e+01  2.77906790e+01]
 [ 1.43349673e+01  2.87421378e+01]
 [ 1.40254180e+01  2.96930212e+01]
 [ 1.37156590e+01  3.06438363e+01]
 [ 1.34059512e+01  3.15946681e+01]
 [ 1.30962815e+01  3.25455123e+01]
 [ 1.27866372e+01  3.34963647e+01]
 [ 1.24770050e+01  3.44472211e+01]
 [ 1.21673705e+01  3.53980768e+01]
 [ 1.18577191e+01  3.63489269e+01]
 [ 1.15480363e+01  3.72997669e+01]
 [ 1.12383221e+01  3.82505966e+01]
 [ 1.09286214e+01  3.92014306e+01]
 [ 1.06189883e+01  4.01522868e+01]
 [ 1.03094761e+01  4.11031822e+01]
 [ 9.99994849e+00  4.20540727e+01]
 [ 9.68968300e+00  4.30047226e+01]
 [ 9.37783596e+00  4.39548547e+01]
 [ 9.06356669e+00  4.49041882e+01]
 [ 8.74640530e+00  4.58525594e+01]
 [ 8.42702476e+00  4.68001858e+01]
 [ 8.10633271e+00  4.77473693e+01]
 [ 7.78523457e+00  4.86944152e+01]
 [ 7.46441699e+00  4.96415562e+01]
 [ 7.14388872e+00  5.05887951e+01]
 [ 6.82351871e+00  5.15360876e+01]
 [ 6.50317599e+00  5.24833893e+01]
 [ 6.18275916e+00  5.34306660e+01]
 [ 5.86225886e+00  5.43779144e+01]
